2025-04-13 13:55:32.067973 | ENCRYPT | sample.txt | aes-cbc | error: encrypt() takes 2 positional arguments but 3 were given | N/A
2025-04-13 13:59:27.167507 | ENCRYPT | sample.txt | aes-cbc | success | encrypted_file
2025-04-13 14:00:05.530859 | DECRYPT | encrypted_file | aes-gcm | error: Decryption failed. Incorrect password or tampered data. | N/A
2025-04-13 14:00:25.020377 | DECRYPT | encrypted_file | aes-cbc | success | decrypted_file
2025-04-13 14:02:46.434436 | ENCRYPT | Devraj_print.pdf | aes-gcm | success | DevrajEnc.pdf
2025-04-13 14:03:39.422133 | DECRYPT | DevrajEnc.pdf | aes-cbc | error: Data must be padded to 16 byte boundary in CBC mode | N/A
2025-04-13 14:04:00.813363 | DECRYPT | DevrajEnc.pdf | aes-gcm | error: Decryption failed. Incorrect password or tampered data. | N/A
2025-04-13 14:04:39.020332 | DECRYPT | DevrajEnc.pdf | chacha20 | success | DevrajDec.pdf
2025-04-13 14:09:11.403830 | ENCRYPT | Devraj_print.pdf | chacha20 | success | DevEnc.pdf
2025-04-13 14:09:29.326648 | DECRYPT | DevEnc.pdf | chacha20 | success | DevDec.pdf
2025-04-13 16:04:28.656854 | ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | ../FileEncSam/encfile.txt
2025-04-13 16:05:16.182227 | DECRYPT | ../FileEncSam/encfile.txt | aes-cbc | success | ../FileEncSam/decfile.txt
2025-04-13 16:10:31.984711 | DECRYPT | ../FileEncSam/encfile.txt | aes-cbc | success | dec.pdf
2025-04-14 12:27:22.207101 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | ../FileEncSam/sample.txt.enc
2025-04-14 12:27:22.265257 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | success | ../FileEncSam/sample2.txt.enc
2025-04-14 12:27:58.585704 | BATCH-DECRYPT | ../FileEncSam/sample.txt.enc | aes-cbc | success | ../FileEncSam/sample.txt.dec
2025-04-14 12:27:58.640949 | BATCH-DECRYPT | ../FileEncSam/sample2.txt.enc | aes-cbc | success | ../FileEncSam/sample2.txt.dec
2025-04-14 12:36:51.058887 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | ../FileEncSam/sample.txt.enc
2025-04-14 12:36:51.111411 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | success | ../FileEncSam/sample2.txt.enc
2025-04-14 12:46:34.058844 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc' | N/A
2025-04-14 12:46:34.113488 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc' | N/A
2025-04-14 12:47:30.363192 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc/' | N/A
2025-04-14 12:47:30.415373 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc/' | N/A
2025-04-14 12:48:50.010268 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc' | N/A
2025-04-14 12:48:50.062549 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc' | N/A
2025-04-14 12:51:12.033633 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc' | N/A
2025-04-14 12:51:12.085659 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | error: [Errno 21] Is a directory: '../FileEnc' | N/A
2025-04-14 12:54:45.067321 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | ../FileEnc/sample.txt.enc
2025-04-14 12:54:45.119389 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | success | ../FileEnc/sample2.txt.enc
2025-04-14 12:56:37.091805 | BATCH-DECRYPT | ../FileEnc/sample.txt.enc | aes-cbc | success | ../FileDec/sample.txt.dec.txt
2025-04-14 12:56:37.145033 | BATCH-DECRYPT | ../FileEnc/sample2.txt.enc | aes-cbc | success | ../FileDec/sample2.txt.dec.txt
